z_km,T_K,M_cm3,O2_model_cm3,N2_model_cm3,CO2_model_cm3,O3_socrates_reference_vmr,O3_socrates_reference_cm3,msis_mass_density_kg_m3,msis_N2_native_cm3,msis_O2_native_cm3,msis_O_native_cm3,msis_He_native_cm3,msis_H_native_cm3,msis_Ar_native_cm3,msis_N_native_cm3,msis_anomalous_O_native_cm3
51,262.11712646484375,18866587179101300,3961983307611273,14715937999699014,7640967807536.0264,2.713408358076339e-06,51192755340.149368,0.00090667721815407276,14736778905773446,3953435393291288.5,nan,98894396539.273209,nan,176273985640025.03,nan,0
52,259.06961059570312,16779517677621080,3523698712300426.5,13088023788544442,6795704659436.5371,2.4808373061845397e-06,41627253434.425346,0.00080637831706553698,13106559157258432,3516096462976874,nan,87954444821.463043,nan,156774102940952.56,nan,0
53,255.91787719726562,14908844185108226,3130857278872727.5,11628898464384416,6038081894968.8311,2.2971060107698466e-06,34247195591.243183,0.00071647879667580128,11645367384057982,3124102588460592.5,nan,78148793966.526459,nan,139296063795685.75,nan,0
54,252.77398681640625,13227440675134750,2777762541778297.5,10317403726605106,5357113473429.5732,2.1269818909771129e-06,28134526779.985691,0.00063567509641870856,10332015275825222,2771769664062749.5,nan,69335259082.12941,nan,123586399987696.66,nan,0
55,249.73939514160156,11713753536972074,2459888242764135.5,9136727758838218,4744070182473.6895,1.9694571967222295e-06,23069736204.020123,0.00056293141096830368,9149667251253136,2454581142307045.5,nan,61400852463.615997,nan,109443742559427.88,nan,0
56,246.88813781738281,10351125020574348,2173736254320613,8073877516047992,4192205633332.6108,1.823598812089147e-06,18876299291.30563,0.0004974471521563828,8085311848068298,2169046452007291.8,nan,54258261720.825851,nan,96712462237037.484,nan,0
57,244.21795654296875,9127968376488566,1916873359062598.8,7119815333661082,3696827192477.8691,1.6885427279087879e-06,15412964622.701153,0.00043866553460247815,7129898519869551,1912737730751870.5,nan,47846751721.226234,nan,85284279115422.109,nan,0
58,241.70986938476562,8033559378273501,1687047469437435.2,6266176315053331,3253591548200.7676,1.5819809787268141e-06,12708938127.901089,0.00038607115857303143,6275050571349987,1683407682326723.8,nan,42110105637.879807,nan,75059014491151.797,nan,0
59,239.346435546875,7057292828850068,1482031494058514.2,5504688406503053,2858203595684.2773,1.5233703777414349e-06,10750870842.517248,0.00033915447420440614,5512484193945012,1478834061790721,nan,36992738004.041725,nan,65937580376331.383,nan,0
60,237.11175537109375,6188850214895462,1299658545128047,4827303167618461,2506484337032.6621,1.4669312330466569e-06,9078617676.8776684,0.00029741943581029773,4834139633171493,1296854578372771,nan,32440555854.102528,nan,57823562795344.461,nan,0
61,234.99098205566406,5418334041501642,1137850148715344.8,4226300552371281,2194425286808.1648,1.4125830946497697e-06,7653847068.1905832,0.00026039051590487361,4232285897319094.5,1135395254075725.5,nan,28401684573.061119,nan,50624488422248.547,nan,0
62,232.97055053710938,4736349939715816,994633487340321.38,3694352952978336.5,1918221725584.9053,1.3602484931390478e-06,6442612868.4776583,0.00022761618311051279,3699584933744970,992487593649958.25,nan,24826878065.901566,nan,44252585442821.539,nan,0
63,231.03775024414062,4132963297009323.5,867922292371957.88,3223711371667272.5,1673850135288.7759,1.309852829256604e-06,5413573667.8013649,0.00019861289183609188,3229221107363047.5,865099478277598.12,nan,21683745836.761086,nan,38621027622841.219,nan,0
64,229.18069458007812,3600405696576649,756085196281096.25,2808316443329786.5,1458164307113.5427,1.26701486797592e-06,4561767548.3078127,0.00017300958279520273,2814762996430465.5,751968844531818.75,nan,18923990978.39616,nan,33654931623386.281,nan,0
65,227.38833618164062,3132284042022100.5,657779648824641.12,2443181552777238.5,1268575037018.9507,1.226957895992684e-06,3843180637.8508964,0.00015050562797114253,2450224191142541.5,652755107690800.25,nan,16493407782.305792,nan,29288249780976.223,nan,0
66,225.6502685546875,2721556185540221,571526798963446.38,2122813824721372.5,1102230255143.7896,1.1881673345662809e-06,3233664158.8456988,0.00013076204049866647,2130180668698061,565905475861146,nan,14356681953.640448,nan,25455684299060.672,nan,0
67,223.95669555664062,2361802598394185.5,495978545662778.94,1842206026747464.8,956530052349.64502,1.1506031458301631e-06,2717497499.5422034,0.00011346994142513722,1849683113844032.8,490009337197070.62,nan,12481516412.076031,nan,22097665836669.992,nan,0
68,222.29837036132812,2047202458649940.2,429912516316487.44,1596817917746953.5,829116995753.22571,1.1142265577243179e-06,2281047348.4662833,9.834919183049351e-05,1604239748902108,423791715607191.19,nan,10838544318.726143,nan,19160155596322.242,nan,0
69,220.66667175292969,1772503614588710.5,372225759063629.19,1382552819379194.2,717863963908.42773,1.0771569007643333e-06,1909264500.0839536,8.5147104982752353e-05,1389794237982909,366105600561411.75,nan,9401200227.1231995,nan,16594374844162.768,nan,0
70,219.05337524414062,1532983519964030.8,321926539192446.44,1195727145571944,620858325585.43237,1.0401343514794672e-06,1594508819.366498,7.3636460001580417e-05,1202696132113475.8,315922799154180.38,nan,8145525735.948288,nan,14356443170638.658,nan,0
